SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_41904,41904,"Palmar de Troya, El",70.57346897,2322.0,1,1,0.014169630805949032,0.0,0,4.306632213608958,0,1,1,1,2.249584025973927,18.25259361346537,0,0.0,directo
ES_42001,42001,Abejar,16.1076687,377.0,1,1,0.06208223043474938,0.0,0,26.525198938992045,1,1,1,2,0.9732388020087283,12.854970804955906,0,0.0,directo
ES_42003,42003,Adradas,1.00785599,68.0,0,0,0.0,0.0,0,0.0,0,0,0,0,21.657185234830234,,0,0.0,aislado
ES_42004,42004,Ágreda,18.52087407,3053.0,0,0,0.0,0.0,0,0.0,0,0,0,0,41.603312791124395,,0,0.0,aislado
ES_42006,42006,Alconaba,3.79604164,199.0,0,0,0.0,0.0,0,0.0,0,0,0,0,28.861098921774463,,0,0.0,aislado
ES_42008,42008,Alcubilla de las Peñas,0.67408744,58.0,0,0,0.0,0.0,0,0.0,0,0,0,0,27.41172340780363,,0,0.0,aislado
ES_42010,42010,Aldealices,3.32035388,21.0,0,0,0.0,0.0,0,0.0,0,0,0,0,38.218403537225655,,0,0.0,aislado
ES_42011,42011,Aldealpozo,1.6873992,20.0,0,0,0.0,0.0,0,0.0,0,0,0,0,47.328818999321754,,0,0.0,aislado
ES_42012,42012,Aldealseñor,2.68982084,25.0,0,0,0.0,0.0,0,0.0,0,0,0,0,36.04033366243908,,0,0.0,aislado
ES_42013,42013,Aldehuela de Periáñez,1.24246899,34.0,0,0,0.0,0.0,0,0.0,0,0,0,0,33.671381784046744,,0,0.0,aislado
ES_42014,42014,"Aldehuelas, Las",1.64006047,62.0,0,0,0.0,0.0,0,0.0,0,0,0,0,32.1402102796296,,0,0.0,aislado
ES_42015,42015,Alentisque,0.74290257,26.0,0,0,0.0,0.0,0,0.0,0,0,0,0,24.561145642253816,,0,0.0,aislado
ES_42017,42017,Almajano,17.97446476,178.0,0,0,0.0,0.0,0,0.0,0,0,0,0,32.01692134122595,,0,0.0,aislado
ES_42018,42018,Almaluez,0.79854058,127.0,0,0,0.0,0.0,0,0.0,0,0,0,0,35.182798994728415,,0,0.0,aislado
