osm_id,source_type,name,lat,lon,tags
node/1738147308,node,Avenida A. Pascual -Residencia,37.7850931,-3.7785092,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida A. Pascual -Residencia', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34300'}"
node/1738152659,node,,37.7825072,-3.7909847,"{'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'yes'}"
node/1738163570,node,,37.7811993,-3.7907883,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/1738163585,node,Plaza Jaén por la Paz - Renfe,37.780236,-3.79031,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'lit': 'yes', 'name': 'Plaza Jaén por la Paz - Renfe', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34304', 'shelter': 'yes', 'tactile_paving': 'yes'}"
node/1852606674,node,Linares-Baeza,38.0691239,-3.5891044,"{'name': 'Linares-Baeza', 'public_transport': 'stop_position', 'railway': 'stop', 'train': 'yes'}"
node/2052060244,node,Almuradiel-Viso del Marques,38.514365,-3.5019392,"{'name': 'Almuradiel-Viso del Marques', 'operator': 'Adif', 'public_transport': 'station', 'railway': 'station', 'website': 'https://www.adif.es/w/50202-almuradiel-viso-m.', 'wikidata': 'Q5845678'}"
node/2062785844,node,Apeadero de autobuses de Mengíbar,37.970432,-3.802337,"{'bench': 'yes', 'bus': 'yes', 'name': 'Apeadero de autobuses de Mengíbar', 'operator': 'Consorcio de Transportes Metropolitano, Área de Jaén', 'operator:type': 'consortium', 'public_transport': 'platform', 'shelter': 'yes', 'wheelchair': 'limited'}"
node/2115201548,node,Puerta de Felipe,37.743016,-3.6918884,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Puerta de Felipe', 'public_transport': 'platform'}"
node/2115201555,node,Torrejón,37.7442377,-3.6942461,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Torrejón', 'public_transport': 'platform'}"
node/2327614452,node,,37.7754336,-3.8933455,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/2364208498,node,Linares-Baeza,38.0691305,-3.589139,"{'name': 'Linares-Baeza', 'public_transport': 'stop_position', 'railway': 'stop', 'train': 'yes'}"
node/2449438111,node,Parada de Autobús,38.276689,-3.611472,"{'highway': 'bus_stop', 'name': 'Parada de Autobús', 'operator': 'Autocares Jaén (Autobuses Castillo)', 'public_transport': 'platform', 'shelter': 'no'}"
node/2449438112,node,Parada de Autobús,38.2756338,-3.6099472,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Parada de Autobús', 'operator': 'Samar', 'public_transport': 'platform', 'shelter': 'no'}"
