cod_prov,cod_muni,municipio,year,population
,,Abejuela. Mujeres. Total habitantes. Personas. ,2022,22.0
,,Abejuela. Mujeres. Total habitantes. Personas. ,2021,21.0
,,Abejuela. Mujeres. Total habitantes. Personas. ,2020,19.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2024,158.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2023,167.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2022,167.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2021,171.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2020,183.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2024,81.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2023,87.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2022,85.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2021,89.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2020,99.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2024,77.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2023,80.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2022,82.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2021,82.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2020,84.0
,,Abengibre. Total. Total habitantes. Personas. ,2024,759.0
,,Abengibre. Total. Total habitantes. Personas. ,2023,760.0
,,Abengibre. Total. Total habitantes. Personas. ,2022,739.0
,,Abengibre. Total. Total habitantes. Personas. ,2021,748.0
,,Abengibre. Total. Total habitantes. Personas. ,2020,761.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2024,374.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2023,369.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2022,363.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2021,365.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2020,365.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2024,385.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2023,391.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2022,376.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2021,383.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2020,396.0
,,Abenójar. Total. Total habitantes. Personas. ,2024,1324.0
,,Abenójar. Total. Total habitantes. Personas. ,2023,1328.0
,,Abenójar. Total. Total habitantes. Personas. ,2022,1314.0
,,Abenójar. Total. Total habitantes. Personas. ,2021,1339.0
,,Abenójar. Total. Total habitantes. Personas. ,2020,1351.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2024,684.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2023,686.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2022,680.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2021,691.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2020,701.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2024,640.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2023,642.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2022,634.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2021,648.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2020,650.0
,,Aberin. Total. Total habitantes. Personas. ,2024,383.0
,,Aberin. Total. Total habitantes. Personas. ,2023,368.0
,,Aberin. Total. Total habitantes. Personas. ,2022,371.0
,,Aberin. Total. Total habitantes. Personas. ,2021,346.0
,,Aberin. Total. Total habitantes. Personas. ,2020,340.0
,,Aberin. Hombres. Total habitantes. Personas. ,2024,203.0
,,Aberin. Hombres. Total habitantes. Personas. ,2023,197.0
,,Aberin. Hombres. Total habitantes. Personas. ,2022,201.0
,,Aberin. Hombres. Total habitantes. Personas. ,2021,187.0
,,Aberin. Hombres. Total habitantes. Personas. ,2020,181.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2024,180.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2023,171.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2022,170.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2021,159.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2020,159.0
,,Abertura. Total. Total habitantes. Personas. ,2024,368.0
,,Abertura. Total. Total habitantes. Personas. ,2023,377.0
,,Abertura. Total. Total habitantes. Personas. ,2022,388.0
,,Abertura. Total. Total habitantes. Personas. ,2021,400.0
,,Abertura. Total. Total habitantes. Personas. ,2020,404.0
,,Abertura. Hombres. Total habitantes. Personas. ,2024,187.0
,,Abertura. Hombres. Total habitantes. Personas. ,2023,190.0
,,Abertura. Hombres. Total habitantes. Personas. ,2022,195.0
,,Abertura. Hombres. Total habitantes. Personas. ,2021,204.0
,,Abertura. Hombres. Total habitantes. Personas. ,2020,200.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2024,181.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2023,187.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2022,193.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2021,196.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2020,204.0
,,Abezames. Total. Total habitantes. Personas. ,2024,60.0
,,Abezames. Total. Total habitantes. Personas. ,2023,64.0
,,Abezames. Total. Total habitantes. Personas. ,2022,65.0
,,Abezames. Total. Total habitantes. Personas. ,2021,58.0
,,Abezames. Total. Total habitantes. Personas. ,2020,59.0
,,Abezames. Hombres. Total habitantes. Personas. ,2024,34.0
,,Abezames. Hombres. Total habitantes. Personas. ,2023,35.0
,,Abezames. Hombres. Total habitantes. Personas. ,2022,34.0
,,Abezames. Hombres. Total habitantes. Personas. ,2021,29.0
,,Abezames. Hombres. Total habitantes. Personas. ,2020,30.0
,,Abezames. Mujeres. Total habitantes. Personas. ,2024,26.0
,,Abezames. Mujeres. Total habitantes. Personas. ,2023,29.0
