PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Segovia,ES_40903,40903,Marazoleja,3.6410,96.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,23.8780,0.0000,0,0.0000,aislado,40
Teruel,ES_44158,44158,Mora de Rubielos,9.4260,1567.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,3,17.2530,18.6380,0,0.0000,periferico,44
Teruel,ES_44173,44173,"Olmos, Los",2.7290,120.0000,1,1,0.3660,1.0000,1,83.3330,0,1,1,4,3.5730,9.6450,0,0.0000,directo,44
Valencia,ES_46165,46165,Massanassa,1819.4370,10140.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,21.7660,0.0000,0,0.0000,aislado,46
Valencia,ES_46174,46174,Montesa,23.5710,1134.0000,3,3,0.1270,0.6670,2,26.4550,2,3,3,16,0.1700,14.6230,0,0.0000,directo,46
Valencia,ES_46183,46183,"Olleria, L'",262.9470,8477.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,6,6.7410,13.8320,0,0.0000,periferico,46
Valencia,ES_46193,46193,Picanya,1627.3130,11759.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,14.2530,17.8410,0,0.0000,aislado,46
Murcia,ES_30008,30008,Alhama de Murcia,75.0680,23388.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,44.9290,0.0000,0,0.0000,aislado,30
Murcia,ES_30019,30019,Cieza,96.0060,35183.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,25.5970,0.0000,0,0.0000,aislado,30
Murcia,ES_30027,30027,Molina de Segura,447.8640,75941.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,54.0430,0.0000,0,0.0000,aislado,30
